"time","S","E","I","R"
0.745,0.2939811495308091,0.00193333124971373,0.004350361765631523,0.6997351574538453
0.75,0.29703579045083345,0.0019192952191553407,0.004286978715841686,0.6967579356141692
0.755,0.30007746828318044,0.0019067980273958845,0.004228206028351061,0.6937875276610723
0.76,0.30310585687689934,0.0018957991743634157,0.004173843466600924,0.6908245004821361
0.765,0.3061206397246859,0.0018862619410786028,0.004123706361170476,0.6878693919730647
0.77,0.30912150901322516,0.0018781532070093606,0.004077624564535204,0.68492271321523
0.775,0.31210816471622,0.0018714432833527748,0.00403544149459117,0.6819849505058359
0.78,0.31508031372632606,0.001866105761127521,0.003997013259515506,0.6790565672530307
0.785,0.31803766902246844,0.0018621173730590107,0.003962207857211716,0.6761380057472606
0.79,0.32097994886924724,0.0018594578683293333,0.003930904443203959,0.6732296888192192
0.795,0.32390687604535223,0.001858109899345646,0.0039029926614032274,0.6703320213938986
0.8,0.326818177098101,0.0018580589197548123,0.003878372032675407,0.6674453919494685
0.805,0.32971358162139314,0.0018592930929995206,0.0038569513966014105,0.6645701738890056
0.81,0.33259282155453535,0.0018618032107724897,0.0038386484022373897,0.6617067268324545
0.815,0.33545563049954236,0.0018655826207812118,0.0038233890440622395,0.6588553978356139
0.82,0.33830174305465394,0.0018706271632865177,0.003811107239643963,0.6560165225424153
0.825,0.3411308941619348,0.0018769351159245043,0.0038017444458690996,0.6531904262762712
0.83,0.3439428184669384,0.0018845071463634011,0.003795249310863339,0.6503774250758345
0.835,0.34673724968852143,0.0018933462723851441,0.0037915773589892593,0.6475778266801038
0.84,0.34951391999699344,0.0019034578290160291,0.003790690706541279,0.6447919314674488
0.845,0.3522725593988752,0.0019148494423621163,0.0037925578059705128,0.6420200333527918
0.85,0.3550128951266227,0.0019275310098332606,0.003797153216665254,0.6392624206468783
0.855,0.3577346510317506,0.0019415146864649494,0.0038044574004879933,0.636519376881296
0.86,0.3604375469798605,0.0019568148770696936,0.0038144565404288205,0.6337911816026405
0.865,0.36312129824614686,0.0019734482339696918,0.003827142380879129,0.6310781111390038
0.87,0.36578561491001615,0.0019914336600799615,0.0038425120881600185,0.6283804393417434
0.875,0.3684302012475155,0.0020107923171262176,0.003860568130057815,0.6256984383052999
0.88,0.37105475512032426,0.002031547638794528,0.003881318173225661,0.623032379067655
0.885,0.3736589673601168,0.0020537253486202366,0.0039047749974061045,0.6203825322938563
0.89,0.3762425211471606,0.0020773534824318567,0.003930956425515778,0.6177491689448912
0.895,0.3788050913820661,0.002102462415171587,0.003959885268710337,0.6151325609340514
0.9,0.3813463440496581,0.002129084891917796,0.00399158928561637,0.6125329817728072
0.905,0.38386593557399495,0.002157256062936211,0.004026101154977596,0.6099507072080907
0.91,0.38636351216361436,0.002187013522585616,0.004063458461015659,0.6073860158527838
0.915,0.3888387091461456,0.002218397351900489,0.00410370369085175,0.6048391898111016
0.92,0.3912911502914862,0.0022514501646671795,0.004146884243374239,0.6023105153004719
